index,label
7573,0.0
6107,0.0
1548,0.0
1044,1.0
5363,1.0
9759,1.0
2575,1.0
9257,1.0
6394,1.0
2910,1.0
7987,0.0
10869,0.0
5658,1.0
9240,1.0
5833,1.0
2538,1.0
497,1.0
3462,1.0
4303,0.0
5887,1.0
9225,0.0
6292,1.0
4627,1.0
1652,1.0
2930,0.0
6280,1.0
5295,1.0
359,0.0
7576,0.0
7348,1.0
7004,1.0
3394,0.0
3064,1.0
9080,1.0
1324,1.0
319,1.0
4068,1.0
10467,1.0
3015,1.0
1292,1.0
1572,1.0
5729,1.0
10939,1.0
3674,1.0
178,0.0
7400,1.0
10770,1.0
5042,1.0
5689,1.0
3029,0.0
8386,1.0
6256,1.0
6383,1.0
4996,1.0
3907,1.0
3769,1.0
9039,1.0
5637,1.0
456,1.0
3417,1.0
7293,0.0
2573,1.0
8185,1.0
1952,1.0
4033,0.0
7331,1.0
3508,1.0
6384,0.0
8424,0.0
1819,1.0
7028,1.0
10533,0.0
4774,1.0
2478,1.0
7015,1.0
2111,1.0
245,1.0
8879,1.0
4949,1.0
195,1.0
1462,1.0
787,1.0
174,1.0
7025,1.0
3132,1.0
2107,1.0
7620,1.0
10942,1.0
1584,1.0
1917,1.0
8187,0.0
2579,1.0
7522,1.0
4604,1.0
7530,0.0
9805,1.0
6328,1.0
10718,1.0
6704,1.0
6002,1.0
4659,1.0
1651,1.0
3120,1.0
9043,1.0
6665,0.0
402,1.0
6324,1.0
9282,1.0
6458,1.0
208,1.0
3843,1.0
1845,1.0
6950,1.0
1972,1.0
8543,0.0
4452,0.0
8153,1.0
3544,1.0
7051,1.0
7744,1.0
6611,1.0
3944,1.0
743,1.0
9085,1.0
6208,1.0
2193,1.0
1640,1.0
5051,1.0
4067,1.0
3841,1.0
9750,1.0
7077,0.0
5372,1.0
7835,1.0
5436,1.0
7637,1.0
10148,1.0
8452,1.0
9497,0.0
2066,1.0
7890,0.0
6554,1.0
2489,1.0
9436,1.0
3700,1.0
6111,1.0
4004,1.0
10452,1.0
5792,1.0
649,1.0
4252,1.0
7311,1.0
9965,1.0
6319,0.0
10355,1.0
7200,1.0
2546,1.0
2223,1.0
1372,1.0
3022,1.0
2820,1.0
2514,0.0
3146,1.0
5891,1.0
3811,1.0
5613,1.0
7603,1.0
8174,1.0
9966,1.0
886,1.0
7919,0.0
9259,0.0
2737,0.0
8807,0.0
9157,0.0
2650,1.0
7204,1.0
9851,1.0
7344,1.0
8082,0.0
4122,1.0
5975,1.0
527,1.0
10992,1.0
8449,1.0
10882,1.0
8036,1.0
7988,1.0
6683,1.0
8098,1.0
6830,0.0
7910,1.0
9511,1.0
2456,1.0
2343,1.0
2753,0.0
6451,1.0
1141,0.0
8403,1.0
10618,1.0
8940,1.0
68,1.0
3761,1.0
6546,0.0
2807,0.0
711,0.0
4049,1.0
5655,1.0
2689,1.0
8705,0.0
3994,1.0
10617,1.0
6624,1.0
5252,1.0
7812,0.0
5921,1.0
5484,1.0
10636,1.0
6164,1.0
3413,1.0
3546,1.0
10547,1.0
4794,1.0
1282,0.0
10218,1.0
9591,1.0
7405,0.0
5054,1.0
2870,1.0
166,0.0
3423,1.0
1375,1.0
2132,1.0
115,1.0
3720,0.0
85,1.0
7953,1.0
9207,1.0
7441,1.0
1196,1.0
210,1.0
7271,1.0
4135,1.0
1241,1.0
8790,1.0
8524,1.0
3215,1.0
8800,1.0
1865,1.0
2718,1.0
7791,0.0
7327,1.0
5760,1.0
8390,1.0
3174,1.0
793,1.0
10979,1.0
2236,1.0
10064,1.0
10843,1.0
4846,1.0
2772,0.0
372,1.0
3034,1.0
6688,1.0
3455,1.0
10045,1.0
10540,1.0
7944,1.0
7026,1.0
3166,1.0
4338,1.0
1848,1.0
4100,0.0
701,0.0
10806,1.0
9570,1.0
3539,1.0
7738,1.0
3476,0.0
9215,1.0
7733,1.0
6021,1.0
7214,1.0
3134,1.0
10873,1.0
10999,1.0
4159,1.0
730,1.0
8024,1.0
8590,1.0
2184,1.0
4998,1.0
6812,1.0
9231,1.0
1571,1.0
1330,1.0
3338,1.0
2431,1.0
6525,1.0
5730,0.0
8869,1.0
10046,1.0
9303,0.0
7006,0.0
919,0.0
5402,0.0
5332,1.0
1212,1.0
2215,1.0
5463,1.0
6881,1.0
10614,0.0
4582,0.0
10910,1.0
9357,1.0
8283,1.0
1438,1.0
1639,1.0
1096,1.0
10511,0.0
4833,1.0
3655,1.0
1499,0.0
67,0.0
7422,1.0
973,1.0
6651,1.0
4622,1.0
10021,1.0
1486,1.0
10025,1.0
9309,1.0
8009,0.0
2863,1.0
2610,1.0
291,1.0
2445,1.0
10497,1.0
5189,1.0
6442,1.0
4143,1.0
4230,0.0
5607,1.0
9266,1.0
987,0.0
580,1.0
3862,1.0
15,1.0
4437,1.0
1987,1.0
6858,1.0
2519,1.0
9524,0.0
5885,1.0
2053,1.0
2316,1.0
5003,0.0
7542,0.0
1718,0.0
10237,0.0
6737,1.0
5978,0.0
8133,1.0
9326,1.0
8453,1.0
7131,1.0
4196,1.0
2477,1.0
6467,1.0
3096,1.0
2673,1.0
7030,1.0
4616,0.0
9960,1.0
10927,1.0
8392,1.0
9985,1.0
8765,1.0
804,1.0
8688,1.0
4189,0.0
4674,1.0
3163,1.0
8355,1.0
7054,1.0
4511,1.0
3004,0.0
7281,1.0
9096,1.0
4562,1.0
108,1.0
3842,1.0
10289,0.0
5964,1.0
10303,1.0
7636,1.0
3331,0.0
8189,1.0
5335,1.0
1384,1.0
10490,1.0
729,1.0
4207,0.0
