index,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW
7420,1,0.0,0.0,1,0,0,1,1,0,1,0.20312437556593466,0.9591750557279932,-0.0794206946782885,-0.2677052697197218,1.548559956496875,0.6197853740211366
5349,0,0.0,0.0,1,0,1,1,0,1,1,0.8913114998066666,-1.482670114300697,-0.49413826273105416,1.4799436561104662,1.1419935879900789,-1.1260298632518568
12722,0,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,0.33529687337447717,-0.6703498751805984,0.7354272194832829,0.9107545802333022
10093,1,1.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,0.7431896971820536,-0.6649680498179033,0.32881616780897105
9695,0,0.0,0.0,1,0,0,0,1,0,1,-0.4850627486747972,0.5522008607232115,-0.0794206946782885,-0.9530577896531288,-0.6649680498179033,1.2017237864454677
9632,1,0.0,0.0,1,1,1,1,1,0,1,-0.4850627486747972,0.5522008607232115,-0.0794206946782885,-0.6103815296864253,-0.03253147658510953,0.9107545802333022
6979,1,0.0,1.0,0,0,0,0,0,0,1,1.9235921861677643,0.9591750557279932,-0.0794206946782885,-0.02783188774302935,0.2836868100312874,-0.5440914508275256
4642,0,1.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.7817196596697771,-0.4842718860371051,-1.1260298632518568
6819,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-1.0901282936398102,-0.5746199679275041,-0.5440914508275256
1104,1,1.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-1.072994480641475,-0.6197940088727037,-1.4169990694640224
11457,0,0.0,0.0,1,0,0,0,0,0,0,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,0.15207314873949002,-0.7101420907631029,0.6197853740211366
13200,0,0.0,0.0,0,1,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.5247124646947494,-0.4390978450919055,1.4926929926576333
7152,1,0.0,1.0,1,0,1,1,1,0,1,0.5472179376863006,0.14522666571842976,-0.49413826273105416,1.3942745911187904,0.32886085097648693,0.32881616780897105
12621,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-1.1500966391339833,-0.6649680498179033,0.32881616780897105
15744,0,1.0,0.0,1,1,0,0,0,0,0,-0.4850627486747972,0.9591750557279932,-0.0794206946782885,0.3748127177178473,0.419208932866886,1.4926929926576333
12828,1,1.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-3.5175410893246055,-0.49413826273105416,1.274337900130444,-0.5746199679275041,-0.8350606570396912
14652,1,0.0,0.0,1,0,0,0,0,0,1,0.20312437556593466,-0.2617475292863519,0.33529687337447717,-0.8502549116631178,0.05781660530528958,-0.5440914508275256
8719,0,0.0,0.0,1,1,1,0,1,0,1,-0.4850627486747972,-1.0756959192959155,-0.49413826273105416,0.18634077473616034,-0.4842718860371051,-0.5440914508275256
12409,0,0.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,0.4861825022070259,-0.8456642135987015,0.03784696159680549
14151,0,0.0,1.0,1,0,0,1,1,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,-0.46474411920057634,-0.03253147658510953,-1.1260298632518568
922,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.0794206946782885,-0.2077369242255487,-0.2584016813111073,0.03784696159680549
10562,1,0.0,0.0,1,1,0,1,0,0,1,-0.14096918655443127,0.9591750557279932,-0.0794206946782885,-0.6018146231872578,-0.12287955847550863,-0.2531222446153601
3216,1,0.0,0.0,1,0,1,0,0,0,1,-0.4850627486747972,-0.2617475292863519,0.7500144414272428,-0.49901174519724667,1.5937339974420746,-1.4169990694640224
1175,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.5932477166880902,-0.6197940088727037,-0.8350606570396912
9705,0,0.0,0.0,0,0,0,0,0,0,1,-0.14096918655443127,0.5522008607232115,-0.49413826273105416,0.35767890471951214,-0.6649680498179033,-0.5440914508275256
11790,0,1.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,-3.110566894319824,-0.49413826273105416,0.983063079158746,-0.03253147658510953,0.32881616780897105
14309,0,0.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,0.297710559225339,-0.5746199679275041,-0.8350606570396912
6962,1,0.0,0.0,1,1,1,1,1,0,1,-0.4850627486747972,0.9591750557279932,0.33529687337447717,-0.32767361521389493,-0.03253147658510953,-0.8350606570396912
