index,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW
9930,0,0.0,0.0,1,0,0,1,0,0,1,0.20312437556593466,-0.6687217242911336,-0.49413826273105416,-0.002131168245526584,-0.6197940088727037,-0.8350606570396912
11263,1,0.0,1.0,1,0,0,1,0,0,1,-0.14096918655443127,-0.2617475292863519,-0.49413826273105416,-0.576113903689755,-0.4842718860371051,0.03784696159680549
6230,1,0.0,1.0,1,1,0,0,0,0,0,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.7131844076764364,-0.6197940088727037,-0.2531222446153601
542,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.4818779321989115,-0.2584016813111073,-0.8350606570396912
15839,0,0.0,0.0,1,0,1,1,1,0,1,-0.14096918655443127,1.7731234457375566,-0.0794206946782885,0.09210480324531689,1.548559956496875,-0.5440914508275256
4656,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-2.7035926993150423,-0.49413826273105416,2.8420817894781125,-0.7553161317083024,-0.2531222446153601
4019,1,0.0,0.0,1,0,0,1,1,0,1,-0.4850627486747972,0.14522666571842976,1.579449577532774,-0.8331210986647827,1.5937339974420746,-0.5440914508275256
1150,0,0.0,0.0,1,0,1,1,0,1,1,-0.14096918655443127,-1.482670114300697,1.1647320094800084,0.32341127872284176,5.5690496006196355,1.2017237864454677
7497,1,1.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.0794206946782885,-0.4904448386980791,-0.6197940088727037,0.32881616780897105
13376,0,0.0,0.0,1,0,1,1,1,0,1,0.20312437556593466,0.9591750557279932,0.33529687337447717,-0.0706664202388673,1.955126325003671,-1.4169990694640224
10862,1,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.8331210986647827,0.19333872814088823,0.9107545802333022
3941,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-1.0986952001389778,-0.5294459269823046,-0.5440914508275256
12919,0,0.0,0.0,0,0,0,1,0,0,1,-0.14096918655443127,0.5522008607232115,-0.0794206946782885,0.11780552274281965,-0.5746199679275041,-0.5440914508275256
317,0,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.0794206946782885,-0.7303182206747716,-0.39392380414670597,-0.8350606570396912
7291,1,0.0,1.0,0,0,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,0.7500144414272428,-0.8331210986647827,-0.5746199679275041,0.32881616780897105
380,1,0.0,0.0,1,1,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,0.691788258187048,-0.3487497632015064,-1.4169990694640224
12772,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-1.072994480641475,-0.6649680498179033,-1.1260298632518568
