index,age,education-num,capital-gain,capital-loss,hours-per-week,isWhite,native-country-United-States,marital-status-Married,isMale
9114,-0.042639775605195114,1.1347612013652848,0.30430090659257464,-0.21665968310826073,-0.03542944763900102,1,1,0,1
27766,-0.18926044238153467,0.3573705113203919,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,0,1,1,1
6264,1.7901185590990492,-2.3634969038367335,-0.14591149219642616,-0.21665968310826073,-0.8453022468006708,1,1,1,1
16992,1.8634288924872189,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.8453022468006708,1,1,0,0
20609,3.7694975605796333,1.5234565463877312,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,0
11627,0.6171532248883328,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,1.5843161506843384,1,1,1,1
29880,2.376601226204407,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,1
15892,1.7168082257108794,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.19740400747133496,1,1,1,1
14584,-1.2156051098159115,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,-1.9791241656270084,1,1,0,1
25732,-0.9223637762632324,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,0.36950695194183386,1,1,1,0
8057,0.8370842250528422,-1.197410868769394,0.3515562831872698,-0.21665968310826073,-0.03542944763900102,0,1,0,0
25126,-0.7757431094868928,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,1
26659,-1.0689844430395719,0.3573705113203919,-0.14591149219642616,-0.21665968310826073,-0.19740400747133496,1,1,0,0
24356,-0.9223637762632324,-1.197410868769394,-0.14591149219642616,-0.21665968310826073,-1.6551750459623404,1,1,0,0
8511,-1.1422947764277418,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,0
465,0.9837048918291817,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,1
19518,1.2769462253818609,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,1
18844,-1.2156051098159115,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,0,1,1,1
8142,-1.4355361099804207,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-1.9791241656270084,1,1,0,1
21956,-0.8490534428750626,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,0.7744433515226687,1,1,0,1
22025,0.10398089117114444,1.5234565463877312,-0.14591149219642616,-0.21665968310826073,0.7744433515226687,1,1,1,1
19616,1.49687722554637,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,1.5843161506843384,1,1,1,1
29696,-0.702432776098723,1.1347612013652848,0.30430090659257464,-0.21665968310826073,-2.46504784512401,1,1,0,0
11456,1.7168082257108794,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.3593785673036689,1,1,0,0
9960,-0.7757431094868928,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.3593785673036689,1,1,0,0
9823,1.7901185590990492,1.5234565463877312,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,0
5340,-1.4355361099804207,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-1.3312259262976727,1,1,0,1
20768,-0.6291224427105533,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,1
13127,0.25060155794748395,1.1347612013652848,0.5552012298876178,-0.21665968310826073,-0.03542944763900102,1,1,1,1
28381,-1.362225776592251,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,1
2375,0.32391189133565373,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,0.28851967202566686,0,1,0,0
15399,0.3972222247238235,-0.031324833702054584,0.10200998214422359,-0.21665968310826073,0.7744433515226687,1,1,0,1
30587,2.0100495592635585,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,1.1793797511035036,1,1,0,0
10196,0.25060155794748395,0.7460658563428383,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,0,1,1,1
29632,-0.6291224427105533,0.3573705113203919,0.18758418847043365,-0.21665968310826073,-0.03542944763900102,0,0,0,1
28472,-0.5558121093223836,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,0.12654511219333292,1,0,0,1
18327,0.4705325581119933,-1.9748015588142869,-0.14591149219642616,4.369333841760766,-0.03542944763900102,1,1,1,1
21166,0.10398089117114444,0.7460658563428383,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,0
24928,-0.702432776098723,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,0.7744433515226687,0,1,1,1
16311,-1.5821567767567604,-1.197410868769394,-0.14591149219642616,-0.21665968310826073,-1.6551750459623404,1,1,0,0
13985,0.10398089117114444,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,0,1,0,1
29387,-0.5558121093223836,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,1
18054,-0.7757431094868928,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,0.7744433515226687,0,1,0,1
4986,0.6171532248883328,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,1
28430,0.32391189133565373,-0.031324833702054584,-0.14591149219642616,-0.21665968310826073,-0.19740400747133496,0,0,0,0
7265,0.4705325581119933,1.1347612013652848,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,1,1
7272,-0.8490534428750626,-0.42002017872450104,-0.14591149219642616,-0.21665968310826073,-0.03542944763900102,1,1,0,0
